"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,128.3,"ER visits/ 10,000 population 18+ years",120.7,135.9,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,140.4,"ER visits/ 10,000 population 18+ years",132.5,148.3,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,150.7,"ER visits/ 10,000 population 18+ years",142.5,158.9,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,216.1,"ER visits/ 10,000 population 18+ years",206.3,225.9,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,207.3,"ER visits/ 10,000 population 18+ years",197.6,217.0,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53204,204.5,"ER visits/ 10,000 population 18+ years",194.9,214.1,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,598.5,"ER visits/ 10,000 population 18+ years",565.6,631.4,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,396.5,"ER visits/ 10,000 population 18+ years",369.5,423.5,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,350.0,"ER visits/ 10,000 population 18+ years",324.8,375.2,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,413.3,"ER visits/ 10,000 population 18+ years",385.9,440.7,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,662.4,"ER visits/ 10,000 population 18+ years",628.3,696.5,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,750.6,"ER visits/ 10,000 population 18+ years",714.6,786.6,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53205,691.2,"ER visits/ 10,000 population 18+ years",655.9,726.5,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,296.8,"ER visits/ 10,000 population 18+ years",282.2,311.4,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,201.8,"ER visits/ 10,000 population 18+ years",189.7,213.9,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,213.2,"ER visits/ 10,000 population 18+ years",200.9,225.5,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,221.7,"ER visits/ 10,000 population 18+ years",209.2,234.2,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,350.2,"ER visits/ 10,000 population 18+ years",334.6,365.8,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,378.3,"ER visits/ 10,000 population 18+ years",362.2,394.4,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53206,372.4,"ER visits/ 10,000 population 18+ years",356.4,388.4,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,85.8,"ER visits/ 10,000 population 18+ years",79.1,92.5,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,59.5,"ER visits/ 10,000 population 18+ years",54.0,65.0,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,71.9,"ER visits/ 10,000 population 18+ years",65.9,77.9,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,74.3,"ER visits/ 10,000 population 18+ years",68.1,80.5,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,112.1,"ER visits/ 10,000 population 18+ years",104.6,119.6,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,100.5,"ER visits/ 10,000 population 18+ years",93.4,107.6,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53207,106.1,"ER visits/ 10,000 population 18+ years",98.9,113.3,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53208,217.0,"ER visits/ 10,000 population 18+ years",205.9,228.1,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53208,150.1,"ER visits/ 10,000 population 18+ years",140.8,159.4,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53208,162.9,"ER visits/ 10,000 population 18+ years",153.3,172.5,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53208,177.6,"ER visits/ 10,000 population 18+ years",167.6,187.6,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
