"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,39.0,"ER visits/ 10,000 population under 18 years",26.5,51.5,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,62.5,"ER visits/ 10,000 population under 18 years",46.8,78.2,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,60.4,"ER visits/ 10,000 population under 18 years",45.2,75.6,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53129,74.5,"ER visits/ 10,000 population under 18 years",57.1,91.9,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,45.0,"ER visits/ 10,000 population under 18 years",24.9,65.1,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,39.4,"ER visits/ 10,000 population under 18 years",20.8,58.0,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,70.6,"ER visits/ 10,000 population under 18 years",45.9,95.3,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,78.0,"ER visits/ 10,000 population under 18 years",52.3,103.7,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,111.7,"ER visits/ 10,000 population under 18 years",81.6,141.8,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,95.8,"ER visits/ 10,000 population under 18 years",68.2,123.4,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53130,76.0,"ER visits/ 10,000 population under 18 years",51.1,100.9,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,25.7,"ER visits/ 10,000 population under 18 years",19.2,32.2,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,17.2,"ER visits/ 10,000 population under 18 years",11.9,22.5,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,20.1,"ER visits/ 10,000 population under 18 years",14.4,25.8,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,21.7,"ER visits/ 10,000 population under 18 years",15.8,27.6,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,38.6,"ER visits/ 10,000 population under 18 years",30.9,46.3,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,38.1,"ER visits/ 10,000 population under 18 years",30.5,45.7,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,38.9,"ER visits/ 10,000 population under 18 years",31.2,46.6,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,52.4,"ER visits/ 10,000 population under 18 years",43.5,61.3,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Pediatric Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population under 18 years. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,35.8,"ER visits/ 10,000 population under 18 years",28.4,43.2,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
